numero_puntos,t_gift_wrapping,t_incremental,t_incremental_nosort,igual_gw_inc,igual_gw_incns,igual_inc_incns,n_cupula_gw,n_cupula_inc,n_cupula_incns
180000,0.0196987,0.0290437,0.00952708,1,1,1,33,33,33
180000,0.0236132,0.029068,0.00947171,1,1,1,40,40,40
180000,0.0181135,0.0289023,0.00954691,1,1,1,30,30,30
185000,0.0186623,0.0304766,0.00984667,1,1,1,30,30,30
185000,0.0175209,0.029898,0.00978681,1,1,1,28,28,28
185000,0.0163885,0.0297531,0.00977885,1,1,1,26,26,26
185000,0.0185708,0.0298552,0.00980757,1,1,1,30,30,30
185000,0.0226996,0.0299513,0.00976677,1,1,1,37,37,37
185000,0.0174453,0.0298566,0.00976226,1,1,1,28,28,28
185000,0.0174262,0.0298002,0.0098047,1,1,1,28,28,28
185000,0.0163878,0.0298662,0.00979859,1,1,1,26,26,26
185000,0.0163298,0.0299417,0.00977132,1,1,1,26,26,26
185000,0.0220097,0.029795,0.00979567,1,1,1,36,36,36
190000,0.0200763,0.0312134,0.00993702,1,1,1,32,32,32
190000,0.0185219,0.0309795,0.0100554,1,1,1,29,29,29
190000,0.0168643,0.0308405,0.0101229,1,1,1,26,26,26
190000,0.0215097,0.0307061,0.0101126,1,1,1,34,34,34
190000,0.0208728,0.0307081,0.00998426,1,1,1,33,33,33
190000,0.0185373,0.0306008,0.00997654,1,1,1,29,29,29
190000,0.0179692,0.0307262,0.0100311,1,1,1,28,28,28
190000,0.0167957,0.0308043,0.00994206,1,1,1,26,26,26
190000,0.0197051,0.0308344,0.010068,1,1,1,31,31,31
190000,0.0220825,0.0306186,0.0101349,1,1,1,35,35,35
195000,0.0170105,0.032349,0.0102743,1,1,1,25,25,25
195000,0.0211636,0.0315976,0.0103892,1,1,1,33,33,33
195000,0.024094,0.0316263,0.0103947,1,1,1,38,38,38
195000,0.0181717,0.0322633,0.0104158,1,1,1,28,28,28
195000,0.0204527,0.0315495,0.0103633,1,1,1,32,32,32
195000,0.015678,0.0315301,0.0102186,1,1,1,24,24,24
195000,0.0198679,0.0314599,0.010277,1,1,1,31,31,31
195000,0.0181318,0.0314129,0.0102406,1,1,1,28,28,28
195000,0.0203184,0.0314319,0.0101814,1,1,1,31,31,31
195000,0.02043,0.0314308,0.0103289,1,1,1,32,32,32
200000,0.0195045,0.0330841,0.0104741,1,1,1,29,29,29
200000,0.0241547,0.0322687,0.0104507,1,1,1,37,37,37
200000,0.0213946,0.0322102,0.0104816,1,1,1,32,32,32
200000,0.0222189,0.0322198,0.0104791,1,1,1,34,34,34
200000,0.0195382,0.032248,0.0104919,1,1,1,29,29,29
200000,0.0276862,0.0324266,0.0104903,1,1,1,43,43,43
200000,0.0192079,0.0323563,0.0104516,1,1,1,29,29,29
200000,0.0191484,0.0325312,0.0104693,1,1,1,29,29,29
200000,0.0226822,0.0321379,0.0105592,1,1,1,34,34,34
200000,0.0191619,0.0322126,0.0105596,1,1,1,29,29,29
